method,metric,mean,std,ci95_low,ci95_high,n_folds
global_only,slice_accuracy,0.35253971919299787,0.02925206055883199,0.33773613405714786,0.3673433043288479,15
global_only,slice_balanced_accuracy,0.3591815660283671,0.017241177482583896,0.3504563263758507,0.36790680568088346,15
global_only,slice_macro_precision,0.35769031252110534,0.016607886152886893,0.34928556250028897,0.3660950625419217,15
global_only,slice_macro_recall,0.3591815660283671,0.017241177482583896,0.3504563263758507,0.36790680568088346,15
global_only,slice_macro_f1,0.3308503525454351,0.03843438945023887,0.3113998678444782,0.350300837246392,15
global_only,slice_weighted_f1,0.35071925268413895,0.03513657243882541,0.3329376936574171,0.3685008117108608,15
global_only,slice_mcc,0.03840297942244612,0.024702431203761806,0.025901824413146937,0.050904134431745296,15
global_only,slice_macro_auroc,0.5438348534585915,0.01392074538796051,0.5367899842914878,0.5508797226256952,15
global_only,slice_macro_auprc,0.3696026399207914,0.01118520908217403,0.3639421431302413,0.3752631367113415,15
global_only,slice_class_1_sensitivity,0.4384074971372019,0.1548914667722678,0.36002159982346055,0.5167933944509432,15
global_only,slice_class_1_specificity,0.6144924532211774,0.16357374008006073,0.5317127193834711,0.6972721870588837,15
global_only,slice_class_2_sensitivity,0.34122428596660126,0.0999181410556248,0.2906587299177226,0.3917898420154799,15
global_only,slice_class_2_specificity,0.7017958898261137,0.09597026407212801,0.6532282351870697,0.7503635444651577,15
global_only,slice_class_3_sensitivity,0.2979129149812981,0.12707874914836356,0.23360219477778982,0.36222363518480644,15
global_only,slice_class_3_specificity,0.7225048829198408,0.10895002055636736,0.6673685652024953,0.7776412006371863,15
global_only,slice_class_1_precision,0.2614992455761437,0.08981640039529748,0.2160458756443652,0.3069526155079222,15
global_only,slice_class_1_recall,0.4384074971372019,0.1548914667722678,0.36002159982346055,0.5167933944509432,15
global_only,slice_class_1_f1,0.31878097362223834,0.0991399821577156,0.2686092203097943,0.3689527269346824,15
global_only,slice_class_1_support,141.6,48.59276842141373,117.00866624194612,166.19133375805387,15
global_only,slice_class_2_precision,0.4930191077111304,0.129210260942895,0.4276296937091133,0.5584085217131475,15
global_only,slice_class_2_recall,0.34122428596660126,0.0999181410556248,0.2906587299177226,0.3917898420154799,15
global_only,slice_class_2_f1,0.38476715839169856,0.07083509358673928,0.3489196550540032,0.42061466172939393,15
global_only,slice_class_2_support,285.2,96.821042577088,236.2017920327692,334.1982079672308,15
global_only,slice_class_3_precision,0.31855258427604166,0.07504926488952958,0.2805724160092401,0.3565327525428432,15
global_only,slice_class_3_recall,0.2979129149812981,0.12707874914836356,0.23360219477778982,0.36222363518480644,15
global_only,slice_class_3_f1,0.28900292562236823,0.09187372887631784,0.24250840382848618,0.33549744741625026,15
global_only,slice_class_3_support,186.0,37.981198356179185,166.77886163620894,205.22113836379106,15
global_only,patient_accuracy,0.4146777674992291,0.05701301051698075,0.3858252033066389,0.44353033169181927,15
global_only,patient_balanced_accuracy,0.4155629652998074,0.0415762943563714,0.39452245733627955,0.43660347326333526,15
global_only,patient_macro_precision,0.4462777346537862,0.04455191758841281,0.4237313535652132,0.46882411574235916,15
global_only,patient_macro_recall,0.4155629652998074,0.0415762943563714,0.39452245733627955,0.43660347326333526,15
global_only,patient_macro_f1,0.3781219012520898,0.08052052398344857,0.3373728938590931,0.41887090864508647,15
global_only,patient_weighted_f1,0.3879634644679699,0.0860695099344106,0.34440628273192164,0.4315206462040182,15
global_only,patient_mcc,0.1289159938221062,0.06879381255184935,0.09410152121827703,0.16373046642593536,15
